bMF,Source,Notes
0.006854305,Buston and Garcia 2007,
0.011166667,Salles et al 2015,09-11_S1
0.005958333,Salles et al 2015,09-11_S2
0.014708333,Salles et al 2015,09-11_S3
0.014583333,Salles et al 2015,09-11_S4
0.010625,Salles et al 2015,09-11_S5
0.017875,Salles et al 2015,09-11_S6
0.024416667,Salles et al 2015,09-11_S7
0.021916667,Salles et al 2015,11-13_S1
0.009916667,Salles et al 2015,11-13_S2
0.017166667,Salles et al 2015,11-13_S3
0.014583333,Salles et al 2015,11-13_S4
0.009666667,Salles et al 2015,11-13_S5
0.011916667,Salles et al 2015,11-13_S6
0.021541667,Salles et al 2015,11-13_S7
