bMJB,Source,Notes
0.01986755,Buston and Garcia 2007,
0.009708333,Salles et al 2015,09-11_S1
0.016958333,Salles et al 2015,09-11_S2
0.016041667,Salles et al 2015,09-11_S3
0.020833333,Salles et al 2015,09-11_S4
0.005333333,Salles et al 2015,09-11_S5
0,Salles et al 2015,09-11_S6
0.028666667,Salles et al 2015,09-11_S7
0.014958333,Salles et al 2015,11-13_S1
0.005541667,Salles et al 2015,11-13_S2
0.006416667,Salles et al 2015,11-13_S3
0.018958333,Salles et al 2015,11-13_S4
0.009625,Salles et al 2015,11-13_S5
0.041666667,Salles et al 2015,11-13_S6
0.011916667,Salles et al 2015,11-13_S7
