bMM,Source,Notes
0.005781457,Buston and Garcia 2007,
0.009083333,Salles et al 2015,09-11_S1
0.005958333,Salles et al 2015,09-11_S2
0.015625,Salles et al 2015,09-11_S3
0.022916667,Salles et al 2015,09-11_S4
0.009083333,Salles et al 2015,09-11_S5
0.023791667,Salles et al 2015,09-11_S6
0.022333333,Salles et al 2015,09-11_S7
0.021958333,Salles et al 2015,11-13_S1
0.002,Salles et al 2015,11-13_S2
0.017166667,Salles et al 2015,11-13_S3
0.010416667,Salles et al 2015,11-13_S4
0.007458333,Salles et al 2015,11-13_S5
0,Salles et al 2015,11-13_S6
0.014375,Salles et al 2015,11-13_S7
