"bMF" "bMM" "bMJA" "bMJB" "surv" "delay_f" "m_growth" "delay_j" "mean_hatch" "diff_hatch" "P2" "LHSresults"
"1" 0.0114014186943919 0.0024446971367707 0.00369681552425054 0.0149898292993266 0.0003588 19.563 12.723 7.327 308.2 218 0.497 0.44
"2" 0.012679325309955 0.030609186590925 0.0120582594472866 0.00332798922560224 0.0002692 13.597 19.449 1.589 596.2 185.2 0.427 0.49
"3" 0.0150627465337166 0.0192229227745147 0.00447762972758706 0.0137237720970573 0.0002492 19.715 1.095 14.965 538.6 273.2 0.073 0.13
"4" 0.011923443895376 0.0189820349667085 0.00402983321381265 0.0249521218684939 0.00017 18.081 3.185 10.519 418.6 386.8 0.705 0.11
"5" 0.017507534694617 0.0109575881818369 0.00507585104920999 0.00498570386402824 0.0001364 13.711 7.403 19.677 661 292.4 0.761 0.03
"6" 0.0169258537083081 0.00518728672931669 0.00479803867988458 0.0100621122645925 5.88e-05 7.897 10.747 19.145 117.4 228.4 0.607 0
"7" 0.00952413781650731 0.0153464954755352 0.000504405716234536 0.0146328945191632 3.72e-05 4.933 12.799 7.935 537.4 17.2 0.979 0
"8" 0.0143600552336669 0.00543553279535089 0.0278990615753529 0.0105522624767064 0.0003964 7.669 12.951 15.459 679 120.4 0.557 0.3
"9" 0.0195888616559909 0.0168879249210332 0.0244720601165928 0.0290557497624008 0.0001212 14.167 2.729 18.081 602.2 286.8 0.505 0
"10" 0.015032604785846 0.00831941174256152 0.00676492584237155 0.0095408950523927 0.0002212 3.907 19.791 5.237 637 106.8 0.593 0.38
"11" 0.0242645114806188 0.00360556670718683 0.0168304614111818 0.0108710098055203 0.0003804 12.191 13.027 17.207 675.4 224.4 0.205 0.19
"12" 0.0141902863053095 0.0135153913769128 0.0101072520736961 0.00427422254964477 0.0003172 3.071 6.225 10.975 332.2 333.2 0.165 0.2
"13" 0.011348919441421 0.0104889937536242 0.0554823604225826 0.0203025220225136 4.36e-05 11.241 19.601 8.011 518.2 227.6 0.777 0
"14" 0.0203133083050372 0.00408022987673709 0.0074784973036503 0.0266353297308682 0.0003828 16.827 18.803 3.945 460.6 334.8 0.959 0.43
"15" 0.0186031563618492 0.0282773885146469 0.00873929518070791 0.00447356397467907 0.0003644 14.851 5.351 14.129 649 274.8 0.925 0.13
"16" 0.0164208588812387 0.0505708775373012 0.00594065385683561 0.0483328541902677 1.08e-05 9.987 11.279 7.783 416.2 158.8 0.471 0
"17" 0.0147943582224368 0.0116680281592322 0.00471826578446745 0.043486962865076 9.96e-05 2.995 19.031 11.849 220.6 241.2 0.123 0
"18" 0.010978848425809 0.0219097423890746 0.0230978970802274 0.00576415836264864 0.000266 11.089 5.807 5.123 130.6 30 0.215 0
"19" 0.0173873588664288 0.0217959759523243 0.0131779815080404 0.0390746260932558 0.0002668 17.207 16.789 10.823 628.6 261.2 0.079 0.15
"20" 0.012731759130823 0.00961937954749561 0.00894785780061681 0.03168003592602 0.000286 2.121 16.675 16.029 553 283.6 0.745 0.19
"21" 0.015002545813138 0.0166428813340749 0.0525634651335001 0.0058805733642586 7.16e-05 19.031 11.241 9.151 163 190.8 0.439 0
