,bMF,bMM,bMJA,bMJB,surv,delay_f,m_growth,delay_j,mean_hatch,diff_hatch,P2,LHSresults
1,0.009524138,0.007341052,0.010553349,0.008370174,0.0003964,1.437,14.091,19.411,327.4,360.4,0.975,0.2
2,0.017924037,0.02157342,0.007438579,0.024005194,0.0002604,4.211,9.911,8.999,415,399.6,0.877,0.12
3,0.017588821,0.002170816,0.052563465,0.00198487,0.0002932,13.331,19.943,10.709,274.6,150.8,0.395,0.15
4,0.016112166,0.017871711,0.015965249,0.016796025,4.84E-05,19.487,5.161,2.843,686.2,6.8,0.425,0.02
5,0.011793286,0.007210655,0.020679328,0.033147927,0.0003324,14.129,11.127,17.549,434.2,303.6,0.369,0.21
6,0.017671079,0.006087754,0.009800747,0.022553023,1.48E-05,14.927,6.605,12.077,158.2,342,0.943,0.02
7,0.012836834,0.007959895,0.012710211,0.008534054,0.0002364,10.481,4.553,12.799,517,24.4,0.027,0.21
8,0.005159122,0.031021532,0.016291228,0.007484705,0.0002348,5.921,17.321,5.427,679,201.2,0.957,0.27
9,0.009249592,0.004519059,0.003224422,0.005453508,0.0002764,16.333,8.733,16.561,329.8,277.2,0.923,0.22
10,0.012731759,0.008681196,0.017250369,0.005802964,0.000234,9.835,16.371,8.353,215.8,311.6,0.345,0.14
11,0.017230239,0.012910777,0.003905803,0.024400817,0.0001836,4.553,14.471,6.149,545.8,273.2,0.645,0.21
12,0.011190924,0.006686608,0.00447763,0.009455276,0.0003268,14.091,15.155,10.405,532.6,89.2,0.857,0.32
13,0.012365854,0.024992232,0.012107483,0.014810191,0.0002844,14.775,19.525,14.205,586.6,183.6,0.215,0.13
14,0.01092553,0.013383171,0.00812299,0.002847828,0.0003444,13.065,15.687,4.781,507.4,191.6,0.175,0.51
15,0.019367004,0.015293905,0.006136575,0.001825484,0.0002044,10.405,6.529,1.361,279.4,307.6,0.111,0.39
16,0.009962761,0.022505789,0.019509169,0.048332854,0.0003372,12.495,15.383,16.371,572.2,376.4,0.277,0.17
17,0.018098206,0.021909742,0.024741737,0.006971528,0.0001956,9.531,13.711,19.563,494.2,63.6,0.191,0.02
18,0.014417116,0.017531445,0.016625592,0.006346633,6.00E-06,6.681,11.507,10.633,596.2,372.4,0.103,0.02
19,0.02085744,0.008615201,0.017108846,0.024536,0.00031,17.017,5.085,3.869,676.6,279.6,0.033,0.57
20,0.010355943,0.017203878,0.026848557,0.005958186,7.88E-05,10.329,14.395,13.369,182.2,297.2,0.639,0.02
21,0.018847029,0.008090433,0.00652888,0.024267318,0.0003108,2.273,4.401,9.911,382.6,337.2,0.225,0.24
22,0.005484254,0.009585314,0.027899062,0.015991029,0.0003692,19.183,6.111,4.667,208.6,206,0.509,0.45
23,0.0146479,0.009449527,0.003441595,0.005686537,0.0001796,17.207,11.241,1.399,407.8,124.4,0.753,0.42
24,0.015307,0.010171612,0.016968891,0.028644132,5.08E-05,5.883,14.889,8.619,359.8,109.2,0.787,0.02
25,0.006991039,0.031461815,0.023335235,0.031680036,0.0003996,19.829,6.301,14.699,413.8,317.2,0.459,0.15
26,0.005924595,0.002748395,0.008739295,0.030893533,0.0001156,2.957,6.985,2.957,232.6,72.4,0.247,0.41
27,0.012942221,0.018011644,0.00268071,0.006035813,0.0003716,17.169,6.567,8.885,599.8,209.2,0.115,0.35
28,0.014589807,0.009687657,0.021162874,0.010642767,7.56E-05,15.687,14.547,12.913,220.6,192.4,0.553,0.02
29,0.010217015,0.007471335,0.005705479,0.022898366,0.0001692,13.939,18.157,2.463,421,42.8,0.041,0.52
30,0.025274229,0.0087473,0.023825901,0.001715419,0.0003132,3.223,18.461,5.617,663.4,182,0.053,0.38
31,0.011348919,0.021683886,0.029707417,0.035662111,9.80E-05,15.459,8.277,8.961,231.4,265.2,0.779,0.02
32,0.01113807,0.008516401,0.016225378,0.003580833,0.0003652,3.109,14.509,3.679,140.2,264.4,0.731,0.32
33,0.0152454,0.006521543,0.00495703,0.003497136,0.0002372,1.931,1.665,13.673,475,58.8,0.605,0.16
34,0.013692146,0.005006485,0.039931214,0.006074634,0.0003276,17.929,16.789,13.293,595,130.8,0.229,0.31
35,0.028251117,0.016000755,0.007478497,0.000594836,0.0003164,17.587,14.927,5.009,577,146.8,0.421,0.26
36,0.023207347,0.010560268,0.010871886,0.017147148,0.0001732,9.607,12.875,9.037,560.2,245.2,0.055,0.12
37,0.015945378,0.013604397,0.010151413,0.009285041,1.96E-05,12.381,10.101,7.859,230.2,28.4,0.347,0.02
38,0.025088031,0.008417811,0.009455761,0.003370509,0.0002644,15.535,1.437,1.627,133,269.2,0.947,0.21
39,0.013556315,0.016345508,0.005666258,0.005996997,5.16E-05,16.941,16.447,11.887,477.4,94.8,0.315,0.02
40,0.006288434,0.009483405,0.00272752,0.011195541,0.0001876,15.421,13.673,7.289,280.6,70.8,0.239,0.22
41,0.014218439,0.003420626,0.018444494,0.007168196,0.0001532,13.217,19.829,17.587,441.4,306.8,0.797,0.09
42,0.031244689,0.006355587,0.00625417,0.007010798,0.0003636,15.041,15.915,17.701,152.2,94,0.521,0.02
43,0.021631299,0.009517328,0.000716861,0.035260532,0.000166,14.509,13.255,5.047,113.8,74.8,0.309,0.02
44,0.007729704,0.026549645,0.006411077,0.010462198,0.0002732,4.971,2.615,11.545,259,196.4,0.481,0.1
45,0.007425755,0.008946328,0.014676999,0.007683847,0.00013,6.795,3.375,7.365,141.4,318,0.597,0.11
46,0.01855553,0.012868744,0.018602276,0.011621978,0.000266,1.361,9.797,14.775,325,159.6,0.819,0.05
47,0.011819328,0.006054042,0.004598212,0.015733505,6.92E-05,9.113,19.069,7.555,263.8,208.4,0.451,0.04
48,0.006662597,0.009756136,0.0110564,0.008657635,7.32E-05,2.729,13.407,16.523,417.4,176.4,0.841,0.05
49,0.008239447,0.014248219,0.003091788,0.002937061,0.0003548,15.079,5.579,17.929,272.2,69.2,0.671,0.12
50,0.017000782,0.016826042,0.001645551,0.006580318,0.00027,2.767,10.709,7.745,649,150,0.327,0.28
51,0.020929671,0.013295859,0.006450331,0.02663533,0.0003564,13.863,2.805,12.875,527.8,144.4,0.697,0.16
52,0.009905438,0.012174978,0.022981119,0.00564772,0.000378,8.733,15.725,13.635,269.8,186,0.677,0.16
53,0.012626954,0.009113098,0.001334786,0.01729041,2.12E-05,12.685,14.699,15.497,611.8,87.6,0.319,0.02
54,0.016963224,0.006155012,0.004638285,0.014342393,7.48E-05,10.823,11.697,8.657,650.2,225.2,0.875,0.08
55,0.006543849,0.011977778,0.005627027,0.003156196,0.0003428,2.691,5.465,14.319,446.2,234.8,0.101,0.34
56,0.011741179,0.011783384,0.003864243,0.007365727,0.000314,6.377,10.329,9.645,637,326.8,0.961,0.32
57,0.010575307,0.00257044,0.015901014,0.004828889,0.0001308,12.533,15.611,2.197,454.6,74,0.791,0.46
58,0.008276341,0.011899693,0.006883223,0.01087101,0.0002516,8.657,8.581,13.255,403,189.2,0.427,0.2
59,0.013475272,0.006620679,0.010598526,0.005258967,0.0003012,6.871,14.661,15.193,652.6,368.4,0.879,0.25
60,0.018603156,0.010884648,0.005115388,0.014285016,5.96E-05,3.565,9.645,1.551,207.4,199.6,0.043,0.02
61,0.018010542,0.010453462,0.012968322,0.013834259,3.64E-05,10.367,9.607,9.873,590.2,23.6,0.519,0.02
62,0.019703157,0.023716116,0.021362169,0.037460786,0.0003668,12.153,4.933,10.595,539.8,111.6,0.861,0.14
63,0.011897422,0.014683433,0.019595145,0.036978458,0.0003412,1.893,5.351,5.085,298.6,7.6,0.703,0.25
64,0.011506207,0.008648185,0.00348451,0.013077964,3.40E-05,9.455,5.959,1.817,400.6,386,0.477,0.04
65,0.014360055,0.010276818,0.008001236,0.013778909,0.0001916,15.003,1.323,3.261,567.4,58,0.487,0.4
66,0.0218018,0.003954952,0.017758673,0.006932288,0.0001612,18.879,3.565,14.015,100.6,247.6,0.267,0.02
67,0.014162188,0.010524595,0.036323,0.008247904,0.0002356,1.589,5.731,4.363,418.6,64.4,0.881,0.28
68,0.008312952,0.005850505,0.002342929,0.01010616,9.96E-05,4.363,13.559,14.813,566.2,204.4,0.647,0.14
69,0.019532576,0.024486737,0.016899488,0.008906624,0.0002484,15.573,2.881,19.449,355,295.6,0.545,0.02
70,0.017076473,0.007047401,0.005194366,0.005375741,1.88E-05,2.311,5.313,3.147,127,213.2,0.889,0.02
71,0.017712584,0.005505545,0.030156847,0.012308034,0.0001868,3.679,10.595,10.557,561.4,375.6,0.741,0.17
72,0.009280595,0.035028514,0.003355265,0.014170966,0.000158,19.677,19.183,3.299,202.6,357.2,0.927,0.02
73,0.01827719,0.004747515,0.008780873,0.052285312,0.0002572,1.779,5.617,13.939,123.4,153.2,0.935,0.03
74,0.016888668,0.006818129,0.020967001,0.019758875,2.36E-05,6.719,6.681,9.569,639.4,262.8,0.979,0.02
75,0.020378309,0.010488994,0.010019216,0.02011845,0.000118,7.213,17.549,1.133,523,162.8,0.415,0.36
76,0.020249094,0.017333453,0.038753734,0.004750253,0.0001212,2.349,8.087,10.177,187,300.4,0.643,0.02
77,0.016925854,0.022630899,0.00727927,0.014227875,0.0002308,8.125,10.899,3.641,631,92.4,0.329,0.34
78,0.012027505,0.01713979,0.017833013,0.015356464,0.000178,18.689,13.065,17.815,229,284.4,0.255,0.02
79,0.014883115,0.017802585,0.024208957,0.018421673,0.0003252,14.205,3.717,12.001,176.2,390.8,0.423,0.08
80,0.008421174,0.005365133,0.005469966,0.013451208,2.44E-05,19.449,4.363,4.933,466.6,314,0.949,0.06
81,0.016491053,0.0023793,0.008906009,0.023623579,0.0002548,11.773,1.171,16.865,502.6,122.8,0.515,0.18
82,0.013939283,0.018982035,0.013991508,0.001296858,9.64E-05,10.025,11.469,6.909,584.2,240.4,0.365,0.07
83,0.01100546,0.00612141,0.024339708,0.013130711,0.0001988,7.707,12.913,11.811,273.4,354,0.831,0.14
84,0.013746759,0.005187287,0.005940654,0.03114886,5.56E-05,1.551,1.741,13.103,549.4,22,0.801,0.03
85,0.026617552,0.020172617,0.020491464,0.013505312,0.0001124,6.643,14.015,6.833,377.8,117.2,0.987,0.02
86,0.012496265,0.021795976,0.018366365,0.004552875,0.000102,3.717,9.379,3.603,439,321.2,0.311,0.09
87,0.021229371,0.02084162,0.040579992,0.012868816,0.0001908,10.519,6.871,11.621,153.4,85.2,0.925,0.02
88,0.018322731,0.011706376,0.016558022,0.025684061,0.0001036,19.791,14.585,3.565,337,305.2,0.149,0.05
89,0.0085966,0.007275872,0.002191655,0.019937268,8.52E-05,19.145,14.167,9.075,430.6,21.2,0.483,0.1
90,0.017347752,0.010994181,0.009370344,0.02599166,0.0001724,3.983,11.089,16.333,128.2,374.8,0.093,0.02
91,0.010872076,0.008483515,0.016490806,0.019847729,0.0002108,7.555,12.343,19.601,183.4,348.4,0.835,0.05
92,0.013021489,0.018595471,0.031639512,0.01866118,3.96E-05,14.433,11.051,7.821,423.4,212.4,0.615,0.02
